,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,Genre
295,0.709,0.507,6,21.81,1,0.145,0.0156,0.862,0.103,0.737,168.782,358080,IDM
296,0.745,0.811,1,23.745,1,0.0413,0.381,0.89,0.102,0.547,130.038,374507,IDM
297,0.465,0.619,7,23.053,1,0.0447,0.758,0.916,0.108,0.0544,113.984,266270,IDM
298,0.433,0.761,8,25.052,0,0.0353,0.0691,0.952,0.113,0.112,155.802,480760,IDM
299,0.45,0.404,7,26.213,1,0.0399,0.484,0.0834,0.208,0.18,72.984,378600,IDM
300,0.525,0.843,7,27.751,1,0.032,0.000465,0.595,0.0813,0.0533,125.0,238080,Synthwave
301,0.567,0.79,0,27.49,1,0.0996,0.252,0.908,0.105,0.639,180.06,140347,Synthwave
302,0.538,0.832,2,26.075,1,0.0261,0.00289,0.864,0.214,0.437,133.018,293232,Synthwave
303,0.495,0.612,8,25.999,0,0.0572,0.000422,0.874,0.071,0.378,200.034,248640,Synthwave
304,0.435,0.638,1,22.485,1,0.0343,0.0693,0.907,0.17,0.552,89.992,300837,Synthwave
305,0.312,0.755,5,32.327,0,0.067,6.72e-05,0.076,0.272,0.288,147.162,208973,Synthwave
306,0.774,0.791,3,28.067,1,0.0917,0.0794,0.334,0.0795,0.546,130.038,297002,Synthwave
307,0.501,0.875,3,27.833,0,0.0345,8.67e-06,0.81,0.194,0.217,130.0,286154,Synthwave
308,0.441,0.426,7,23.609,0,0.0533,0.369,0.49,0.0909,0.145,99.992,297577,Synthwave
309,0.582,0.869,2,26.886,1,0.0322,0.000151,0.141,0.0917,0.0715,105.001,214875,Synthwave
310,0.577,0.932,5,26.678,1,0.0537,0.00282,0.917,0.243,0.419,127.986,281343,Synthwave
311,0.605,0.864,0,26.238,1,0.0459,0.00117,0.637,0.236,0.229,133.97,266894,Synthwave
312,0.628,0.874,2,23.075,1,0.0353,3.73e-05,0.874,0.201,0.232,125.002,245891,Synthwave
313,0.536,0.914,10,28.844,0,0.0562,0.00076,0.787,0.318,0.405,120.046,200046,Synthwave
314,0.611,0.942,5,30.689,0,0.101,0.063,0.0557,0.11,0.94,120.004,271047,Synthwave
315,0.527,0.714,2,25.071,0,0.0371,0.00664,1.16e-06,0.0672,0.375,133.015,270000,Synthwave
316,0.423,0.921,7,32.33,1,0.0734,5.37e-06,0.903,0.179,0.187,131.011,214351,Synthwave
317,0.42,0.952,10,27.161,0,0.0577,0.000134,0.0109,0.12,0.626,132.987,271416,Synthwave
318,0.528,0.864,11,28.298,0,0.0441,0.000332,0.869,0.0702,0.159,126.012,274286,Synthwave
319,0.61,0.922,2,26.056,0,0.0338,0.0185,0.00149,0.226,0.559,94.992,232000,Synthwave
320,0.424,0.848,3,27.819,0,0.0376,0.000117,0.824,0.0996,0.0593,95.506,330827,Synthwave
321,0.661,0.734,9,26.795,1,0.0463,0.0688,0.743,0.0622,0.788,127.973,275875,Synthwave
322,0.584,0.551,0,25.062,1,0.03,0.0083,0.928,0.103,0.0375,99.99,257817,Synthwave
323,0.568,0.694,5,24.105,0,0.033,1.33e-05,0.922,0.118,0.522,135.007,230949,Synthwave
324,0.513,0.734,9,27.11,0,0.151,0.146,0.00269,0.0898,0.375,104.004,212308,Synthwave
325,0.555,0.876,10,25.672,0,0.209,0.085,0.848,0.165,0.361,107.998,283573,Synthwave
326,0.694,0.572,9,23.628,1,0.0281,0.00538,6.28e-06,0.0746,0.199,115.99,389095,Synthwave
327,0.482,0.781,3,29.602,0,0.0532,3.08e-05,0.0,0.0706,0.481,83.043,278360,Synthwave
328,0.625,0.391,3,21.732,0,0.0471,0.274,0.855,0.0726,0.58,89.996,304483,Synthwave
329,0.506,0.871,8,29.909,1,0.0313,0.00499,9.15e-06,0.127,0.382,129.98,232846,Synthwave
330,0.419,0.844,8,26.901,1,0.0523,0.00219,0.211,0.162,0.103,180.005,151467,Synthwave
331,0.619,0.649,6,24.32,1,0.0414,0.01,0.916,0.535,0.298,80.886,202494,Synthwave
332,0.461,0.575,5,26.779,0,0.0987,0.0474,0.879,0.265,0.0898,105.967,414500,Synthwave
333,0.599,0.753,2,24.938,1,0.0414,0.0496,0.901,0.121,0.173,92.0,271236,Synthwave
334,0.518,0.825,2,23.252,1,0.0343,0.000407,0.906,0.116,0.0608,110.986,267520,Synthwave
335,0.517,0.705,0,27.505,0,0.036,0.0344,0.909,0.151,0.19,140.025,205761,Synthwave
336,0.61,0.869,7,27.049,1,0.0318,9.55e-05,0.829,0.115,0.0708,118.061,115728,Synthwave
337,0.399,0.872,4,28.564,0,0.0319,0.000207,0.558,0.309,0.0871,154.97,427645,Synthwave
338,0.68,0.791,5,29.66,0,0.0464,4.99e-05,0.883,0.137,0.434,123.973,317419,Synthwave
339,0.44,0.615,1,23.021,0,0.039,0.0797,0.911,0.0799,0.126,84.966,354015,Synthwave
340,0.599,0.916,10,28.089,1,0.0465,0.00504,0.19,0.0938,0.208,120.056,236000,Synthwave
341,0.555,0.532,9,24.568,0,0.0278,9.36e-05,0.948,0.114,0.899,132.003,291839,Synthwave
342,0.708,0.8,7,24.535,1,0.0578,0.0075,0.841,0.106,0.453,125.994,339999,Synthwave
343,0.516,0.96,7,28.298,0,0.0991,0.0403,0.898,0.377,0.161,94.97,343141,Synthwave
344,0.55,0.882,2,26.925,1,0.0339,0.000507,0.783,0.133,0.227,109.997,240149,Synthwave
345,0.49,0.692,9,25.307,0,0.0348,0.00128,0.229,0.167,0.295,159.974,220147,Synthwave
346,0.418,0.659,2,26.042,0,0.0449,0.0105,0.878,0.0727,0.241,100.007,302400,Synthwave
347,0.535,0.846,10,27.104,0,0.0347,3.19e-05,0.762,0.549,0.653,118.018,224533,Synthwave
348,0.638,0.731,11,26.875,1,0.0481,0.0662,0.83,0.11,0.42,108.055,111111,Synthwave
349,0.308,0.675,0,28.541,0,0.0371,0.00229,0.0405,0.293,0.0852,97.978,403679,Synthwave
350,0.526,0.888,0,30.234,0,0.0591,0.00147,0.0,0.188,0.451,127.906,170977,Electro
351,0.567,0.666,1,25.974,1,0.0368,0.00467,0.0,0.132,0.268,108.02,227778,Electro
352,0.95,0.551,4,28.525,1,0.0873,0.239,0.000129,0.158,0.648,130.094,203077,Electro
353,0.782,0.831,11,28.023,0,0.0412,0.0298,0.000984,0.0969,0.586,124.001,189556,Electro
354,0.42,0.866,7,28.935,0,0.151,0.242,0.000318,0.107,0.843,198.066,136031,Electro
355,0.652,0.541,9,20.964,0,0.0286,0.679,0.647,0.373,0.122,122.017,137797,Electro
356,0.508,0.657,0,25.754,1,0.1,0.0389,0.112,0.51,0.116,135.984,208676,Electro
357,0.759,0.631,7,24.979,1,0.0406,0.172,0.053,0.266,0.254,133.024,135298,Electro
358,0.551,0.95,4,27.945,1,0.13,0.0121,0.124,0.113,0.0571,132.047,247273,Electro
359,0.667,0.633,3,27.755,1,0.0466,0.388,1.97e-06,0.14,0.519,97.996,166133,Electro
360,0.592,0.9,9,28.453,0,0.0582,0.00176,0.373,0.5,0.0752,125.021,218040,Electro
361,0.714,0.908,7,30.503,0,0.214,0.0188,1.3e-05,0.195,0.439,126.942,143622,Electro
362,0.632,0.987,2,32.472,1,0.0699,0.00106,0.00554,0.734,0.215,139.989,221143,Electro
363,0.528,0.538,0,28.73,1,0.0754,0.616,3.55e-06,0.0915,0.287,84.015,200714,Electro
364,0.732,0.88,1,28.164,0,0.101,0.00407,0.00929,0.0635,0.863,125.019,187286,Electro
365,0.67,0.832,1,24.724,1,0.0617,0.16,0.000821,0.0868,0.193,123.961,142349,Electro
366,0.601,0.912,8,28.104,1,0.0359,0.0458,0.405,0.124,0.132,123.013,134634,Electro
367,0.63,0.812,11,26.244,0,0.0479,0.00412,0.859,0.127,0.241,128.008,184000,Electro
368,0.446,0.836,1,28.677,1,0.0443,0.0604,7.35e-06,0.0835,0.392,140.114,149129,Electro
369,0.493,0.607,2,26.814,1,0.0333,0.228,0.0452,0.129,0.147,77.993,172320,Electro
370,0.67,0.562,2,25.809,1,0.0884,0.784,0.397,0.183,0.322,174.011,156552,Electro
371,0.671,0.876,7,28.319,0,0.0352,0.12,0.188,0.0823,0.964,129.998,231545,Electro
372,0.587,0.869,0,26.826,0,0.0382,0.0101,0.0147,0.118,0.119,124.008,180000,Electro
373,0.649,0.849,0,25.215,1,0.0881,0.0145,0.0285,0.117,0.361,132.032,186364,Electro
374,0.703,0.809,10,28.326,1,0.0563,0.233,0.00119,0.107,0.214,105.008,178286,Electro
375,0.755,0.719,7,28.755,1,0.0461,0.095,3.13e-06,0.132,0.425,124.035,153970,Electro
376,0.725,0.874,10,27.379,1,0.0795,0.00904,0.0359,0.139,0.412,124.022,168412,Electro
377,0.743,0.764,9,26.365,0,0.0879,0.678,0.007,0.116,0.524,124.043,132006,Electro
378,0.616,0.888,0,29.432,0,0.0391,0.0283,0.0,0.0843,0.388,126.004,194286,Electro
379,0.515,0.592,2,28.511,1,0.0342,0.504,0.0,0.0527,0.288,149.983,189600,Electro
380,0.635,0.855,9,26.796,0,0.0678,0.0484,0.000143,0.292,0.385,125.013,143040,Electro
381,0.657,0.783,1,28.172,0,0.398,0.0905,7.34e-06,0.103,0.707,134.223,140976,Electro
382,0.724,0.457,1,22.638,1,0.363,0.843,0.0772,0.0767,0.0615,105.028,211703,Electro
383,0.668,0.911,4,28.475,0,0.0642,0.0288,0.00134,0.259,0.112,118.055,187391,Electro
384,0.56,0.905,5,26.999,0,0.0447,0.00323,0.171,0.121,0.441,144.958,188690,Electro
385,0.724,0.897,11,30.99,0,0.15,0.032,0.0,0.372,0.643,126.061,155000,Electro
386,0.726,0.861,10,27.123,0,0.123,0.00992,2.97e-06,0.0902,0.471,128.041,127734,Electro
387,0.604,0.82,7,29.426,0,0.0688,0.15,0.0,0.601,0.565,124.007,149082,Electro
388,0.701,0.79,5,25.502,0,0.0419,0.0561,0.0162,0.144,0.0518,119.983,131500,Electro
389,0.712,0.587,1,23.458,1,0.176,0.532,0.0,0.0596,0.484,126.17,152450,Electro
390,0.871,0.574,8,29.7,1,0.0928,0.453,0.000179,0.151,0.583,133.015,196069,Electro
391,0.847,0.724,2,26.332,1,0.047,0.00355,0.00339,0.0731,0.326,126.983,319964,Electro
392,0.641,0.727,11,24.905,1,0.315,0.00822,0.896,0.473,0.711,130.135,155187,Electro
393,0.751,0.578,1,27.367,0,0.0648,0.299,1.5e-06,0.197,0.67,149.867,141866,Electro
394,0.652,0.614,3,26.167,0,0.0664,0.0792,0.0,0.239,0.384,129.991,155077,Electro
395,0.793,0.44,7,28.365,1,0.037,0.234,0.000373,0.0875,0.187,120.023,196062,Electro
396,0.672,0.955,8,28.234,0,0.0434,0.00626,0.518,0.27,0.255,126.02,194286,Electro
397,0.68,0.841,0,27.97,1,0.0395,0.00562,8.05e-05,0.142,0.19,123.029,227562,Electro
398,0.616,0.869,11,29.836,1,0.0584,0.0436,2.45e-06,0.0803,0.286,128.05,183750,Electro
399,0.64,0.991,9,30.524,1,0.0709,0.0289,0.0386,0.133,0.745,144.998,188724,Electro
